# Species	Genes	Alg.-Conn.	Streptococcus_australis_protein.faa	Streptococcus_cristatus_protein.faa	Streptococcus_ferus_protein.faa	Streptococcus_koreensis_protein.faa	Streptococcus_sobrinus_protein.faa	aerococcus_1.faa	aerococcus_2.faa	aerococcus_3.faa	aerococcus_4.faa	aerococcus_5.faa	anoxybacillus_1.faa	anoxybacillus_2.faa	anoxybacillus_3.faa	anoxybacillus_4.faa	anoxybacillus_5.faa	enterococcus_durans_protein.faa	enterococcus_faecium_protein.faa	enterococcus_gilvus_protein.faa	enterococcus_lactis_protein.faa	enterococcus_raffinosus_protein.faa	paenibacillus_1.faa	paenibacillus_2.faa	paenibacillus_3.faa	paenibacillus_4.faa	paenibacillus_5.faa
24	24	0.00184	WP_006595320.1	WP_005591370.1	WP_018030401.1	WP_023024832.1	WP_002959952.1	WP_034258092.1	WP_060776828.1	WP_060778689.1	WP_067978375.1	WP_050774109.1	WP_009360762.1	WP_066322169.1	*	WP_181557389.1	WP_171567214.1	WP_016177743.1	WP_002287409.1	WP_010779620.1	WP_002290936.1	WP_010745331.1	WP_014372583.1	WP_038692851.1	WP_116234463.1	WP_162354776.1	WP_162640941.1
4	4	0.856	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014653147.1	*	WP_167527192.1	WP_162355173.1	WP_162640491.1
3	3	0.562	*	*	*	*	*	*	*	*	*	*	WP_035067440.1	*	*	*	*	*	*	*	*	*	WP_014650466.1	*	*	WP_162355109.1	*
3	3	0.591	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_041618491.1	*	*	WP_162355105.1	WP_162640575.1
3	3	0.447	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014370328.1	*	*	WP_162355071.1	WP_162643557.1
4	4	0.619	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014652794.1	*	WP_152397777.1	WP_162355053.1	WP_162640631.1
4	4	0.874	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013921479.1	*	WP_152399422.1	WP_162355049.1	WP_192043608.1
4	4	0.324	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_081668821.1	*	WP_145019101.1	WP_162355044.1	WP_162643347.1
3	3	0.425	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013919184.1	*	*	WP_162355041.1	WP_162640668.1
5	5	0.727	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_171564226.1	*	*	*	*	*	WP_014652742.1	*	WP_152403286.1	WP_162355007.1	WP_162640715.1
3	3	0.519	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014652014.1	*	*	WP_162355262.1	WP_162640412.1
3	3	0.892	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014371261.1	*	*	WP_162354938.1	WP_192043610.1
5	5	0.462	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_081134308.1	*	*	*	*	WP_014652600.1	*	WP_152403536.1	WP_162354920.1	WP_162640816.1
3	3	0.955	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014649836.1	*	*	WP_162354918.1	WP_162645263.1
4	4	0.728	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014649074.1	*	WP_152399021.1	WP_162354908.1	WP_162640831.1
4	4	0.811	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013915895.1	*	WP_152398061.1	WP_162354901.1	WP_162640840.1
3	3	0.723	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_016362538.1	*	*	WP_162354868.1	WP_162640873.1
4	4	0.87	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014651913.1	*	WP_152401015.1	WP_162354866.1	WP_162640875.1
3	3	0.788	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014369872.1	*	*	WP_162354861.1	WP_162640881.1
4	4	0.606	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013917368.1	*	WP_244364517.1	WP_162354854.1	WP_162640890.1
3	3	0.893	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_081668852.1	*	*	WP_162354839.1	WP_225446611.1
3	3	0.765	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_016362979.1	*	WP_152399031.1	WP_162355550.1	*
3	3	0.766	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013915925.1	*	*	WP_162355753.1	WP_162642670.1
4	4	0.836	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014372270.1	*	WP_152398875.1	WP_162355752.1	WP_225446419.1
3	3	0.62	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014369699.1	*	*	WP_162355688.1	WP_162643968.1
8	8	0.66	*	*	*	*	*	*	*	*	*	*	WP_035065235.1	WP_066323500.1	*	WP_181555050.1	WP_230077417.1	*	*	*	*	*	WP_014649205.1	*	WP_152399351.1	WP_162355641.1	WP_162640046.1
8	8	0.468	*	*	*	*	*	*	*	*	*	*	WP_009373480.1	WP_066323499.1	*	WP_181555051.1	WP_171566257.1	*	*	*	*	*	WP_014368295.1	*	WP_152399352.1	WP_162355640.1	WP_162640047.1
8	8	0.737	*	*	*	*	*	*	*	*	*	*	WP_019418318.1	WP_066323492.1	*	WP_194519920.1	WP_171566260.1	*	*	*	*	*	WP_013914279.1	*	WP_076172876.1	WP_162355637.1	WP_162640050.1
3	3	0.338	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014649203.1	*	*	WP_162355636.1	WP_162640051.1
3	3	0.863	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014371863.1	*	*	WP_162355625.1	WP_162640067.1
3	3	0.85	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014652444.1	*	*	WP_162355622.1	WP_162640070.1
3	3	0.892	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013914454.1	*	*	WP_162355607.1	WP_162640088.1
5	5	0.581	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_230077290.1	*	*	*	*	*	WP_014649323.1	*	WP_244364473.1	WP_162355592.1	WP_162640101.1
7	7	0.712	*	*	*	*	*	*	*	*	*	*	*	*	WP_127016429.1	*	WP_230076723.1	*	*	*	*	*	WP_013920071.1	WP_084065194.1	WP_152398580.1	WP_225442489.1	WP_162644196.1
4	4	0.708	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013920487.1	*	WP_152399943.1	WP_162355549.1	WP_162638267.1
3	3	0.36	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014651526.1	*	*	WP_162355470.1	WP_162640233.1
3	3	0.844	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013920969.1	*	*	WP_162355388.1	WP_162640289.1
5	5	0.51	*	*	*	*	*	*	*	*	*	*	WP_049720852.1	*	*	*	*	*	*	*	*	*	WP_014369770.1	*	WP_152397631.1	WP_162355364.1	WP_162640314.1
22	22	0.484	WP_006596828.1	WP_005590859.1	WP_018029336.1	WP_048715843.1	WP_002961640.1	WP_003141245.1	WP_060776892.1	WP_060778626.1	WP_067979604.1	WP_003141245.1	WP_009360857.1	WP_066327135.1	*	WP_181557213.1	WP_171565052.1	WP_005876322.1	WP_002290817.1	WP_010740416.1	WP_002290817.1	WP_010740416.1	WP_014649225.1	*	*	WP_162355344.1	WP_162640342.1
4	4	0.742	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014370382.1	*	WP_105442337.1	WP_162355304.1	WP_162640377.1
3	3	0.965	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_016362683.1	*	*	WP_162355293.1	WP_162640384.1
4	4	0.858	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014651991.1	*	WP_152403929.1	WP_162355289.1	WP_162640386.1
4	4	0.698	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014649193.1	*	WP_076172873.1	WP_162355281.1	WP_162640394.1
3	3	0.946	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013916690.1	*	*	WP_162355268.1	WP_162640406.1
25	25	0.621	WP_126403553.1	WP_005591376.1	WP_018030407.1	WP_006596995.1	WP_002961258.1	WP_026465520.1	WP_060776612.1	WP_013668998.1	WP_067978893.1	WP_026465520.1	WP_178378767.1	WP_066322324.1	WP_236777824.1	WP_194519379.1	WP_171563913.1	WP_005875769.1	WP_002293106.1	WP_010782277.1	WP_002293106.1	WP_010747432.1	WP_013921592.1	WP_038699826.1	WP_076172490.1	WP_162354721.1	WP_162641240.1
9	9	0.596	*	*	*	*	*	*	*	*	*	*	WP_035065298.1	WP_066327756.1	WP_127015904.1	WP_194519099.1	*	*	*	*	*	*	WP_014372125.1	WP_038700204.1	WP_167527176.1	WP_162355758.1	WP_162639891.1
5	5	0.676	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013916309.1	WP_038700054.1	WP_145029178.1	WP_192043465.1	WP_192043606.1
20	20	0.639	WP_126404758.1	WP_005591074.1	WP_018030144.1	WP_120701664.1	WP_019768992.1	*	*	*	WP_234946605.1	*	WP_035064548.1	WP_066323089.1	WP_127017177.1	WP_194519651.1	WP_230077815.1	WP_081134945.1	WP_002293684.1	WP_114525702.1	WP_002329586.1	WP_070508970.1	WP_014649227.1	WP_038700052.1	*	WP_162360285.1	WP_162645208.1
4	4	0.832	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014372706.1	WP_038700046.1	*	WP_162359507.1	WP_162642800.1
5	5	0.734	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_181555737.1	*	*	*	*	*	*	WP_014649174.1	WP_038699894.1	*	WP_162358099.1	WP_162644662.1
9	9	0.827	*	*	*	*	*	*	*	*	*	*	WP_035064426.1	WP_066322537.1	*	WP_181555348.1	WP_212132589.1	*	*	*	*	*	WP_013921298.1	WP_038699890.1	WP_152399677.1	WP_162354925.1	WP_162640810.1
21	21	0.595	*	*	WP_018031081.1	*	*	WP_059134844.1	WP_060776439.1	WP_060777776.1	WP_067979533.1	WP_003143065.1	WP_026011756.1	WP_066322208.1	WP_127017884.1	WP_194519400.1	WP_171567196.1	WP_081135005.1	WP_002296028.1	WP_240318368.1	WP_002293073.1	WP_218256420.1	WP_014653029.1	WP_038699857.1	WP_105442436.1	WP_162354757.1	WP_162641091.1
25	25	0.805	WP_126404157.1	WP_005592145.1	WP_018029663.1	WP_120701985.1	WP_019786702.1	WP_173636795.1	WP_144428651.1	WP_060778979.1	WP_067978880.1	WP_167541426.1	WP_035067253.1	WP_066322301.1	WP_127017657.1	WP_194519385.1	WP_171563897.1	WP_081133661.1	WP_002295261.1	WP_114525176.1	WP_002329774.1	WP_218256255.1	WP_014653180.1	WP_038699846.1	WP_105445365.1	WP_162360239.1	WP_162645284.1
25	25	0.777	WP_126405002.1	WP_037586116.1	WP_018030444.1	WP_023027415.1	WP_019781964.1	WP_026465525.1	WP_060776620.1	WP_060778977.1	WP_067978882.1	WP_039935857.1	WP_035067251.1	WP_066322303.1	WP_236777825.1	WP_194519384.1	WP_171563898.1	WP_081133660.1	WP_002295262.1	WP_114525175.1	WP_002293110.1	WP_218256254.1	WP_014653179.1	WP_038699844.1	WP_145162243.1	WP_162354730.1	WP_162641195.1
25	25	0.765	WP_126404717.1	WP_037586271.1	WP_018030983.1	WP_120701696.1	WP_109833471.1	WP_026465523.1	WP_060776615.1	WP_060778963.1	WP_067978886.1	WP_003142948.1	WP_019416588.1	WP_066322306.1	WP_127017655.1	WP_181555264.1	WP_171563899.1	WP_005875772.1	WP_002288804.1	WP_114525171.1	WP_002293109.1	WP_218256249.1	WP_014653178.1	WP_038699842.1	WP_152399718.1	WP_162354729.1	WP_162641199.1
7	7	0.675	*	*	*	*	*	*	*	*	*	*	*	*	WP_164731077.1	*	WP_171564421.1	*	*	*	*	*	WP_014653176.1	WP_038699832.1	WP_105445568.1	WP_162354724.1	WP_162641224.1
14	14	0.635	WP_123160191.1	WP_005590415.1	*	*	*	*	WP_060776673.1	WP_060777533.1	*	*	WP_026011540.1	WP_179946276.1	WP_127016477.1	WP_181554443.1	WP_029097288.1	*	*	WP_010781490.1	*	WP_010746651.1	WP_016362313.1	WP_038700230.1	WP_244364302.1	*	*
9	9	0.678	*	*	*	*	*	*	*	*	*	*	WP_003395421.1	WP_066323269.1	*	WP_181555769.1	WP_171564507.1	*	*	*	*	*	WP_013921590.1	WP_038699824.1	WP_076172489.1	WP_162354720.1	WP_162641265.1
25	25	0.702	WP_000068664.1	WP_000068664.1	WP_018030689.1	WP_000068664.1	WP_002961569.1	WP_026465542.1	WP_060776649.1	WP_013669454.1	WP_067978843.1	WP_003142905.1	WP_003397568.1	WP_027408127.1	WP_205665641.1	WP_027408127.1	WP_171563920.1	WP_005875810.1	WP_002288370.1	WP_010742563.1	WP_002288370.1	WP_010747412.1	WP_013921587.1	WP_038699819.1	WP_076172485.1	WP_090649321.1	WP_090649321.1
24	24	0.509	WP_164555457.1	WP_174263562.1	WP_018030445.1	WP_167444699.1	WP_019773637.1	WP_059349349.1	WP_060776650.1	WP_060779018.1	WP_067978840.1	WP_039935839.1	WP_035067232.1	WP_066322342.1	*	WP_181555277.1	WP_171563922.1	WP_081133665.1	WP_002288371.1	WP_114525181.1	WP_002319563.1	WP_218256261.1	WP_014653173.1	WP_038699807.1	WP_152399730.1	WP_162354713.1	WP_162641293.1
25	25	0.679	WP_126405000.1	WP_005591407.1	WP_018030446.1	WP_120701454.1	WP_002962477.1	WP_026465550.1	WP_060776651.1	WP_060779022.1	WP_067978834.1	WP_003142892.1	WP_009361073.1	WP_066322345.1	WP_127017624.1	WP_181555278.1	WP_171563923.1	WP_005875813.1	WP_002288372.1	WP_114525182.1	WP_002293132.1	WP_010747410.1	WP_013921581.1	WP_038699806.1	WP_152399731.1	WP_162354712.1	WP_162641304.1
24	24	0.37	WP_006596978.1	WP_005592121.1	WP_018030447.1	WP_120701455.1	WP_019777878.1	WP_026465551.1	WP_060776652.1	WP_060779023.1	WP_067978833.1	WP_003142890.1	WP_009361072.1	WP_066322348.1	WP_127017620.1	WP_181555279.1	*	WP_005875816.1	WP_002288373.1	WP_010782255.1	WP_002288373.1	WP_218256262.1	WP_013921580.1	WP_038699804.1	WP_105445379.1	WP_162354711.1	WP_192043645.1
24	24	0.764	WP_070665062.1	WP_005591559.1	WP_026161956.1	WP_120701508.1	WP_019776536.1	WP_059349348.1	WP_060776744.1	WP_060777655.1	*	WP_003142888.1	WP_026011474.1	WP_066322349.1	WP_127017607.1	WP_194519377.1	WP_171563925.1	WP_081133666.1	WP_002288375.1	WP_010782254.1	WP_002288375.1	WP_218256263.1	WP_013921579.1	WP_038699802.1	WP_152399732.1	WP_162354710.1	WP_162641310.1
25	25	0.71	WP_125374345.1	WP_037586201.1	WP_018029530.1	WP_048689535.1	WP_019777039.1	WP_059348515.1	WP_236701139.1	WP_082702823.1	WP_067979410.1	WP_003143508.1	WP_035067229.1	WP_066326999.1	WP_205665640.1	WP_181555285.1	WP_171563933.1	WP_005878927.1	WP_002288854.1	WP_010780071.1	WP_002288854.1	WP_010745761.1	WP_014653167.1	WP_038699790.1	WP_152403141.1	WP_162354703.1	WP_162641337.1
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014652762.1	WP_038699730.1	*	*	*
7	7	0.78	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_002294116.1	*	WP_210633758.1	WP_060789378.1	WP_013919973.1	WP_038699724.1	*	WP_162359011.1	WP_162640003.1
8	8	0.588	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_194520158.1	*	*	WP_002287282.1	*	*	WP_060789376.1	WP_013916241.1	WP_038699720.1	WP_208837112.1	WP_162359010.1	WP_162640002.1
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014372069.1	WP_038700823.1	*	*	*
9	9	0.738	*	*	*	*	*	*	*	*	*	*	WP_019416748.1	WP_066326586.1	*	WP_181554627.1	WP_230076662.1	*	*	*	*	*	WP_014368747.1	WP_038701400.1	WP_152398692.1	WP_162356114.1	WP_162639528.1
5	5	0.707	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013920152.1	WP_038701331.1	WP_152402908.1	WP_162358533.1	WP_225446241.1
12	12	0.471	*	*	*	*	*	*	*	WP_060777735.1	*	*	WP_019418587.1	WP_066323020.1	WP_127016622.1	WP_181557294.1	WP_212132319.1	*	*	*	*	WP_218257128.1	WP_014371968.1	WP_038701328.1	WP_244364478.1	WP_162358521.1	WP_162644142.1
25	25	0.816	WP_126403873.1	WP_005590847.1	WP_018029345.1	WP_120701175.1	WP_019777032.1	WP_059348743.1	WP_060776947.1	WP_060779049.1	WP_067977795.1	WP_039935054.1	WP_035065482.1	WP_066326510.1	WP_127016689.1	WP_194519016.1	WP_212132910.1	WP_081135322.1	WP_002287953.1	WP_114523972.1	WP_002328983.1	WP_218256739.1	WP_014371958.1	WP_038701324.1	WP_152398603.1	WP_162358516.1	WP_225446242.1
23	23	0.676	WP_126404169.1	WP_005589646.1	WP_018029674.1	WP_023023089.1	WP_029236702.1	WP_026465860.1	WP_060776999.1	WP_060778107.1	WP_067978183.1	WP_003142284.1	WP_009373565.1	WP_066323644.1	*	WP_194520600.1	WP_212131931.1	WP_005879663.1	WP_002288882.1	WP_114524420.1	*	WP_218255498.1	WP_014652270.1	WP_038701260.1	WP_208837134.1	WP_225442756.1	WP_162645088.1
16	16	0.492	WP_126404787.1	WP_005591208.1	WP_018029937.1	WP_120701653.1	WP_002959690.1	*	WP_060777437.1	WP_060777711.1	*	WP_039935901.1	WP_035067737.1	*	*	WP_194520448.1	*	*	*	*	*	WP_070509412.1	WP_014651614.1	WP_038701188.1	WP_152403979.1	WP_162354663.1	WP_162643803.1
25	25	0.649	WP_126403914.1	WP_005589517.1	WP_018029408.1	WP_120701155.1	WP_019769065.1	WP_059348820.1	WP_060776135.1	WP_060778436.1	WP_067977658.1	WP_004262325.1	WP_009373878.1	WP_066326137.1	WP_127016861.1	WP_181554350.1	WP_171565603.1	WP_081133898.1	WP_002286656.1	WP_114524713.1	WP_002329021.1	WP_218256109.1	WP_014650756.1	WP_038701166.1	WP_181153020.1	WP_225442849.1	WP_192043586.1
12	12	0.75	*	*	*	*	*	WP_059349211.1	*	*	*	WP_039935099.1	WP_019418510.1	WP_066325973.1	WP_127016286.1	WP_181554261.1	WP_171566903.1	*	*	*	*	*	WP_013916449.1	WP_038701135.1	WP_089548072.1	WP_162356760.1	WP_162638962.1
9	9	0.668	*	*	*	*	*	*	*	*	*	*	WP_019417606.1	WP_066325782.1	*	WP_181555915.1	WP_212132006.1	*	*	*	*	*	WP_014370048.1	WP_038701123.1	WP_105444696.1	WP_162356877.1	WP_162638895.1
25	25	0.794	WP_118095195.1	WP_005590438.1	WP_026161899.1	WP_023026860.1	WP_109833588.1	WP_059348691.1	WP_060776920.1	WP_060777900.1	WP_067977869.1	WP_004262403.1	WP_019418397.1	WP_066323740.1	WP_127015683.1	WP_181554950.1	WP_230077087.1	WP_081134339.1	WP_002293717.1	WP_010780400.1	WP_002313567.1	WP_218255897.1	WP_014652169.1	WP_038701061.1	WP_152402198.1	WP_162356998.1	WP_162638765.1
12	12	0.355	WP_126404778.1	WP_005591198.1	WP_018030465.1	WP_023024276.1	*	*	*	*	*	*	WP_240483489.1	WP_148660358.1	WP_127017971.1	WP_194520746.1	WP_171565213.1	*	*	*	*	*	WP_128758922.1	WP_038700852.1	*	*	WP_162638270.1
8	8	0.8	*	*	*	*	*	*	*	*	*	*	WP_035065787.1	WP_066325495.1	*	*	WP_230077563.1	*	*	*	*	*	WP_014369646.1	WP_038699699.1	WP_152399772.1	WP_162354862.1	WP_162640880.1
10	10	0.72	*	*	*	*	*	*	*	*	*	*	WP_009732854.1	WP_066323706.1	WP_236777878.1	WP_181554964.1	WP_171566939.1	*	*	*	*	*	WP_041618746.1	WP_038700803.1	WP_076168257.1	WP_162356979.1	WP_162638788.1
9	9	0.432	*	*	*	*	*	*	*	*	*	*	WP_035067289.1	WP_066324449.1	*	WP_181556123.1	WP_230077767.1	*	*	*	*	*	WP_014650115.1	WP_038700623.1	WP_105441570.1	WP_162358447.1	WP_162644222.1
6	6	0.747	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_171564865.1	*	*	*	*	*	WP_014650101.1	WP_038700606.1	WP_145135719.1	WP_162355159.1	WP_162640502.1
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014649778.1	WP_038700550.1	*	*	*
7	7	0.736	*	*	*	*	*	*	*	*	*	*	*	*	WP_127017983.1	*	WP_230076630.1	*	*	*	*	*	WP_013915001.1	WP_038700526.1	WP_076170471.1	WP_162356187.1	WP_162639444.1
8	8	0.853	*	*	*	*	*	*	*	*	*	*	WP_035066693.1	WP_066326232.1	*	WP_194518946.1	*	*	*	*	*	*	WP_014652646.1	WP_038700448.1	WP_152400841.1	WP_162356136.1	WP_162639503.1
3	3	0.934	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_044897068.1	*	*	*	*	*	WP_014652872.1	WP_038700386.1	*	*	*
25	25	0.675	WP_126403822.1	WP_005591080.1	WP_018030953.1	WP_099747332.1	WP_019770723.1	WP_026465459.1	WP_060777466.1	WP_060778582.1	WP_067979642.1	WP_003141604.1	WP_009361579.1	WP_066327748.1	WP_127015445.1	WP_181554755.1	WP_230077289.1	WP_081134878.1	WP_002286189.1	WP_114524065.1	WP_002291343.1	WP_010746559.1	WP_014649339.1	WP_038700307.1	WP_152400757.1	WP_162359160.1	WP_162643261.1
20	20	0.447	WP_126405067.1	WP_005590875.1	WP_018030347.1	WP_120702333.1	WP_019771406.1	*	*	*	*	*	WP_035065286.1	WP_066327777.1	WP_127015983.1	WP_194519106.1	WP_171567579.1	WP_095443642.1	WP_002285909.1	WP_114525011.1	WP_002285909.1	WP_010745345.1	WP_014649337.1	WP_038700306.1	WP_152400755.1	WP_162359162.1	WP_162643259.1
20	20	0.607	WP_126404757.1	WP_005589600.1	WP_018030502.1	WP_023024237.1	WP_019786677.1	WP_059349330.1	*	*	*	WP_003140781.1	*	*	WP_127017264.1	WP_181555298.1	WP_171566582.1	WP_081134576.1	WP_002294110.1	WP_114524746.1	WP_002291489.1	WP_028020372.1	WP_013914473.1	WP_038700303.1	WP_152400751.1	WP_162359165.1	WP_162643256.1
10	10	0.554	*	*	*	*	*	*	*	*	*	*	WP_019417511.1	WP_066322755.1	WP_127017253.1	WP_194519272.1	WP_230077475.1	*	*	*	*	*	WP_014649005.1	WP_038699292.1	WP_152399983.1	WP_162359999.1	WP_162642446.1
20	20	0.618	WP_006596621.1	WP_005589741.1	WP_018029519.1	WP_120702141.1	WP_002963081.1	*	*	*	*	*	WP_019418628.1	WP_066322638.1	WP_127017345.1	WP_181555394.1	WP_065067430.1	WP_005878470.1	WP_002289005.1	WP_010781586.1	WP_002289005.1	WP_010746747.1	WP_014648978.1	WP_038699342.1	WP_152399965.1	WP_162360057.1	WP_162642399.1
10	10	0.671	*	*	*	*	*	*	*	*	*	*	WP_035064500.1	WP_066322659.1	WP_127017336.1	WP_194519331.1	WP_171564126.1	*	*	*	*	*	WP_014648988.1	WP_038699337.1	WP_152399966.1	WP_162360037.1	WP_162642421.1
9	9	0.671	*	*	*	*	*	*	*	*	*	*	WP_033383645.1	WP_066322660.1	*	WP_181555407.1	WP_230077503.1	*	*	*	*	*	WP_041618133.1	WP_038699336.1	WP_076174658.1	WP_225442591.1	WP_225446121.1
9	9	0.713	*	*	*	*	*	*	*	*	*	*	*	WP_027407999.1	WP_127017334.1	WP_181555409.1	WP_003388385.1	*	*	*	*	*	WP_013913891.1	WP_038699334.1	WP_089549722.1	WP_090575384.1	WP_090575384.1
10	10	0.871	*	*	*	*	*	*	*	*	*	*	WP_019418618.1	WP_066322661.1	WP_127017333.1	WP_181555410.1	WP_171564130.1	*	*	*	*	*	WP_013913892.1	WP_038699332.1	WP_163882780.1	WP_162360033.1	WP_162642423.1
10	10	0.596	*	*	*	*	*	*	*	*	*	*	WP_019418617.1	WP_066322662.1	WP_127017202.1	WP_181555411.1	WP_212132556.1	*	*	*	*	*	WP_013913893.1	WP_038699331.1	WP_152399967.1	WP_162360031.1	WP_162642424.1
8	8	0.564	*	*	*	*	*	*	*	*	*	*	WP_019418616.1	WP_066322663.1	*	WP_181555412.1	*	*	*	*	*	*	WP_013913894.1	WP_038699330.1	WP_152399968.1	WP_162360025.1	WP_162642425.1
25	25	0.735	WP_126404207.1	WP_005590373.1	WP_018029810.1	WP_120701960.1	WP_019786546.1	WP_059348410.1	WP_060776528.1	WP_060778799.1	WP_067979164.1	WP_003143358.1	WP_035064693.1	WP_066327144.1	WP_127017263.1	WP_181555597.1	WP_230077344.1	WP_095443549.1	WP_156264938.1	WP_114524006.1	WP_047929522.1	WP_218256791.1	WP_014648991.1	WP_038699326.1	WP_152399969.1	WP_162360727.1	WP_162645316.1
20	20	0.568	WP_126403795.1	WP_211205063.1	WP_018030769.1	WP_120701238.1	WP_019769031.1	*	*	*	*	*	WP_019417525.1	WP_066322728.1	WP_127017355.1	WP_194519281.1	WP_171564139.1	WP_053108839.1	WP_085837449.1	WP_010780245.1	WP_002329034.1	WP_010745943.1	WP_013913902.1	WP_038699318.1	WP_116233481.1	WP_162360019.1	WP_162642430.1
3	3	0.595	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013920157.1	WP_038699314.1	WP_152399973.1	*	*
6	6	0.598	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_171564169.1	*	*	*	*	*	WP_014648999.1	WP_038699312.1	WP_152399975.1	WP_162360726.1	WP_162642434.1
20	20	0.69	WP_006596944.1	WP_005589739.1	WP_018029517.1	WP_023022747.1	WP_109833529.1	*	*	*	*	*	WP_009360960.1	WP_066322634.1	WP_127017347.1	WP_181555392.1	WP_171564102.1	WP_005878466.1	WP_002292792.1	WP_044926041.1	WP_002292792.1	WP_010746749.1	WP_013913870.1	WP_038699346.1	WP_076174672.1	WP_162360059.1	WP_162642396.1
10	10	0.507	*	*	*	*	*	*	*	*	*	*	WP_035066139.1	WP_066322756.1	WP_127017252.1	WP_194519271.1	WP_230077474.1	*	*	*	*	*	WP_014649006.1	WP_038699290.1	WP_152399984.1	WP_162359997.1	WP_162642447.1
10	10	0.724	*	*	*	*	*	*	*	*	*	*	WP_019417507.1	WP_066322759.1	WP_127017249.1	WP_194519270.1	WP_171564180.1	*	*	*	*	*	WP_014649009.1	WP_038699284.1	WP_152399987.1	WP_162359992.1	WP_162642450.1
